,Position,Company,Description,District of Columbia-Washington,Loc_state,Loc_city,Loc_zip,JobPostDate
505,Data Scientist - Alexa Skills Store,Amazon.com,"· Expert in writing and tuning SQL scripts· Previous experience with statistical, econometric, and/or machine learning modeling is a huge plus.· Previous experience in a ML or data scientist role with a large technology company· Knowledge of scripting for automation (e.g. Python, Ruby)· Experience with AWS features (S3, Redshift) is a plus· Experience with NoSQL is strong plus.· Excellent communication, analytical and collaborative problem-solving skills· Demonstrable track record dealing well with ambiguity, prioritizing needs, and delivering results in an agile, dynamic environmentAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation Southern California Region, CaliforniaIrvine, CA )Alexa Skills Team",,,,,
535,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv San Francisco Bay Area, CASan Francisco, California )Professional Services",,,,,
547,"Manager, Principal ML Data Science",Amazon.com,"· Track record of diving into data to discover hidden patterns and of conducting error/deviation analysis· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.· The motivation to achieve results in a fast-paced environment.· Experience with statistical modelling / machine learning· Strong attention to detail· Exceptional level of organization· Comfortable working in a fast paced, highly collaborative, dynamic work environment· Ability to think creatively and solve problems· Fluency in a foreign languageAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation Pittsburgh, Pennsylvania )Alexa Machine Learning",,,,,
609,Data Scientist - AWS Professional Services,Amazon.com,"· PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)· 8+ years of industry experience in predictive modeling and analysis· Good skills with programming languages, such as Java or C/C++· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Consulting experience and track record of helping customers with their AI needs· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organization· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Pittsburgh, Pennsylvania )Professional Services",,,,,
666,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv Herndon Area, VAWashington, DC | Greater Metro Area )Professional Services",,,,,
685,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv San Francisco Bay Area, CASan Francisco, California )Professional Services",,,,,
812,Data Scientist - AWS Professional Services,Amazon.com,"· PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)· 8+ years of industry experience in predictive modeling and analysis· Good skills with programming languages, such as Java or C/C++· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Consulting experience and track record of helping customers with their AI needs· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organization· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Southern California Region, CaliforniaIrvine, CA )Professional Services",,,,,
832,Data Scientist,Amazon.com,"· Track record of diving into data to discover hidden patterns and of conducting error/deviation analysis· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.· The motivation to achieve results in a fast-paced environment.· Experience with statistical modelling / machine learning· Strong attention to detail· Exceptional level of organization· Comfortable working in a fast paced, highly collaborative, dynamic work environment· Ability to think creatively and solve problems· Fluency in a foreign languageAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation Boston/Cambridge Area, MA )Alexa Machine Learning",,,,,
841,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv Herndon Area, VAWashington, DC | Greater Metro Area )Professional Services",,,,,
845,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv Atlanta, Georgia )Professional Services",,,,,
848,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv Herndon Area, VAWashington, DC | Greater Metro Area )Professional Services",,,,,
855,Business Intelligence Engineer,Amazon.com,"· Master’s degree in quantitative field· Previous experience in Machine Learning and/or data scienceAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. Atlanta, Georgia team-linehaul-tech )",,,,,
865,"Manager, Principal ML Data Science",Amazon.com,"· Track record of diving into data to discover hidden patterns and of conducting error/deviation analysis· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.· The motivation to achieve results in a fast-paced environment.· Experience with statistical modelling / machine learning· Strong attention to detail· Exceptional level of organization· Comfortable working in a fast paced, highly collaborative, dynamic work environment· Ability to think creatively and solve problems· Fluency in a foreign languageAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation Pittsburgh, Pennsylvania )Alexa Machine Learning",,,,,
882,Data Scientist - Alexa Skills Store,Amazon.com,"· Expert in writing and tuning SQL scripts· Previous experience with statistical, econometric, and/or machine learning modeling is a huge plus.· Previous experience in a ML or data scientist role with a large technology company· Knowledge of scripting for automation (e.g. Python, Ruby)· Experience with AWS features (S3, Redshift) is a plus· Experience with NoSQL is strong plus.· Excellent communication, analytical and collaborative problem-solving skills· Demonstrable track record dealing well with ambiguity, prioritizing needs, and delivering results in an agile, dynamic environmentAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation Southern California Region, CaliforniaIrvine, CA )Alexa Skills Team",,,,,
